id,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm
42765421,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
42768807,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
42776834,2,365,2.0,4.0,1125.0,1125.0,3.2,1125.0
42791712,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
42808514,32,1125,32.0,365.0,1125.0,1125.0,354.1,1125.0
42811670,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811690,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811700,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811705,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811710,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811718,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811724,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811730,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811738,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811743,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811750,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811753,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811757,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811764,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811767,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811773,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811779,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811782,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811785,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811805,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811810,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811815,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811816,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811820,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811826,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811833,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811840,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811845,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811860,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811874,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811887,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811902,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811909,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811915,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811922,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811928,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811933,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811940,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811943,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811953,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811958,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42811961,31,731,31.0,31.0,731.0,731.0,31.0,731.0
42815553,31,138,31.0,31.0,1125.0,1125.0,31.0,1125.0
42829620,30,765,7.0,31.0,1125.0,1125.0,30.1,1125.0
42834842,2,29,1.0,2.0,1125.0,1125.0,1.4,1125.0
42855483,32,1125,32.0,366.0,1125.0,1125.0,348.1,1125.0
42855522,32,1125,32.0,366.0,1125.0,1125.0,351.1,1125.0
42855552,32,1125,32.0,366.0,1125.0,1125.0,351.5,1125.0
42867623,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0
42870950,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
42879511,2,365,1.0,2.0,1125.0,1125.0,1.4,1125.0
42882117,3,60,3.0,3.0,60.0,60.0,3.0,60.0
42904211,4,4,1.0,4.0,4.0,4.0,2.8,4.0
42915638,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
42929391,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
42937437,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
42938744,32,1125,32.0,366.0,1125.0,1125.0,354.1,1125.0
42938761,32,1125,32.0,366.0,1125.0,1125.0,347.4,1125.0
42938773,32,1125,32.0,365.0,1125.0,1125.0,354.1,1125.0
42938788,32,1125,32.0,365.0,1125.0,1125.0,353.4,1125.0
42939091,2,90,2.0,3.0,90.0,90.0,2.7,90.0
42941255,31,1125,1.0,3.0,1125.0,1125.0,1.8,1125.0
42947167,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
42957495,2,100,1.0,4.0,1125.0,1125.0,4.0,1125.0
42964787,31,60,31.0,31.0,1125.0,1125.0,31.0,1125.0
42966479,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
42971810,91,106,91.0,91.0,1125.0,1125.0,91.0,1125.0
42986431,5,150,4.0,10.0,1125.0,1125.0,5.5,1125.0
43006177,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
43032127,91,106,91.0,91.0,1125.0,1125.0,91.0,1125.0
43036130,1,365,1.0,1.0,365.0,365.0,1.0,365.0
